1	51	0	51	3	0	0	0	0	1	0	0	0	0	0	2
2	83	12	71	2	2	0	3	2	1	0	0	0	0	0	0
3	192	0	192	0	0	1	0	0	1	2	2	0	0	0	1
4	130	10	120	3	0	0	3	0	0	15	12	2	1	0	1
5	14	0	14	2	0	0	0	0	0	2	0	2	0	0	1
6	206	78	128	17	2	14	12	0	1	1	1	0	0	0	1
7	275	5	270	4	1	12	4	0	3	71	66	5	0	0	1
8	302	148	154	15	2	3	8	6	1	17	17	0	0	0	1
9	71	7	64	1	0	5	1	0	0	10	6	2	2	0	1
10	393	152	241	48	1	11	5	0	2	10	10	0	0	0	1
11	298	232	66	0	0	7	8	0	1	2	2	0	0	0	1
12	111	86	25	4	1	6	59	0	0	2	0	0	2	0	1
13	206	18	188	81	0	10	10	0	1	15	10	2	0	3	1
14	152	0	152	0	0	1	0	0	0	4	1	1	1	1	1
15	250	24	226	8	6	6	0	1	3	13	13	0	0	0	1
16	246	171	75	0	0	0	11	0	0	2	1	0	1	0	1
17	486	455	31	0	0	3	13	0	0	2	1	1	0	0	1
18	179	44	135	17	0	14	71	0	5	9	9	0	0	0	1
19	179	108	71	10	0	32	4	0	0	11	11	0	0	0	1
20	194	135	59	0	0	5	23	0	0	3	0	3	0	0	1
21	100	43	57	1	0	0	6	0	1	3	0	2	0	1	1
22	346	183	163	1	0	1	13	0	1	26	23	3	0	0	1
23	683	0	683	1665	0	1	0	0	2	65	61	3	1	0	1
24	210	134	76	0	0	4	13	0	1	7	7	0	0	0	1
25	409	318	91	13	0	1	44	0	0	5	5	0	0	0	1
26	138	68	70	26	0	7	12	0	1	13	13	0	0	0	1
27	194	101	93	2	1	1	13	0	0	8	1	4	1	2	1
28	39	0	39	7	1	0	2	0	0	2	2	0	0	0	1
29	295	55	240	19	14	0	1	14	1	2	0	1	0	1	1
30	284	63	221	11	2	20	12	0	1	69	49	18	0	2	1
31	310	213	97	0	0	2	16	0	2	5	2	3	0	0	1
32	565	433	132	1	0	4	20	0	0	3	1	2	0	0	1
33	280	190	90	0	0	0	19	0	0	10	10	0	0	0	1
34	45	35	10	1	0	0	2	0	0	1	0	1	0	0	0
35	460	449	11	0	0	0	37	0	0	1	1	0	0	0	1
36	413	383	30	5	5	1	31	0	0	1	0	0	0	1	0
37	116	0	116	1	0	0	1	0	1	4	1	2	0	1	1
38	203	194	9	8	1	23	16	0	0	1	0	1	0	0	1
39	90	6	84	1	0	2	1	0	0	1	0	1	0	0	1
40	474	389	85	2	5	0	23	3	1	4	4	0	0	0	1
